heater_id,set_point,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25
Manometer Tree 150 & 155 SP-Tstat Open,122,143.74,141.99,144.12,141.09,128.47,66.02,152.03,142.71,118.36,67.1,147.84,142.79,130.52,76.08,145.7,144.57,142.21,51.52,146.99,142.91,141.02,50.47,147.52,151.59,52.83
Manometer Tree 150 & 155 SP-Tstat Open,176,223.41,217.53,220.82,219.47,198.11,91.77,235.08,222.12,181.41,92.81,226.64,217.75,197.5,104.0,212.84,198.85,185.92,53.33,210.32,195.5,185.28,52.04,204.59,169.65,72.05
"Manometer Tree 50, 100 & 150 SP",55,45.16,46.41,47.04,46.92,44.72,36.05,49.47,48.17,44.65,37.49,51.03,51.07,49.47,42.41,58.72,70.29,80.1,50.19,62.69,70.35,77.33,48.91,71.96,120.12,32.14
"Manometer Tree 50, 100 & 150 SP",90,88.21,93.23,94.54,93.31,86.18,53.11,100.02,95.14,82.56,54.54,99.16,97.58,91.2,62.25,104.21,111.2,115.7,53.24,107.92,111.01,113.88,51.83,114.07,142.59,42.09
"Manometer Tree 50, 100 & 150 SP",123,133.92,142.71,144.19,141.22,128.56,67.24,151.52,142.89,119.58,68.23,147.84,143.18,131.36,77.57,146.0,145.39,143.27,52.34,147.52,143.72,141.73,51.22,148.36,152.76,52.25
