heater_id,elapsed_seconds,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25,TS1,TS2,TS3,OT1,OT2,OT3,TC26 PSwitch,TC27 PSwitch
Manometer Tree 150 & 155 SP-Tstat Open,125,82.4401499,47.1217607,48.7388967,64.7353427,87.0372851,26.9438406,59.9855893,71.3099342,65.605882,28.5254665,55.0656334,69.0295307,77.5018453,33.5371633,61.819202,69.078079,87.8365078,49.1287858,73.1684081,74.107411,91.7323332,48.5606601,100.74839,139.619616,27.7200917,32.7832909,30.9450806,31.932308,0.112578063,0.0759153099,0.079581035,32.6247725,27.9158514
Manometer Tree 150 & 155 SP-Tstat Open,130,84.9152755,47.8879271,49.8836289,66.3822372,88.475504,26.9809693,61.3543893,72.9118148,66.5829579,28.5666097,56.4008874,70.4326835,78.8639998,33.7046761,62.8399337,69.6174525,88.1834045,49.1072077,74.2277267,74.7278463,92.2385563,48.5399546,102.211868,139.965463,28.0011798,33.4644444,31.2239701,32.0555031,0.113173657,0.0757216385,0.0793183132,32.6372038,27.9017096
Manometer Tree 150 & 155 SP-Tstat Open,135,87.3530277,48.6931088,51.0190399,68.0111064,89.9222891,27.0080415,62.7409778,74.5297365,67.5799021,28.5875551,57.7711656,71.8500707,80.1941067,33.6773451,63.8670292,70.1471117,88.56352,49.0345196,75.3259476,75.3634015,92.7219241,48.5462757,103.647969,140.289484,28.1438015,34.112036,31.5092065,32.1370179,0.113809141,0.0758415827,0.0793053835,32.5953937,27.8880901
Manometer Tree 150 & 155 SP-Tstat Open,140,89.7592283,49.494618,52.1542976,69.6238894,91.3483361,27.0817922,64.1086822,76.1377798,68.5778917,28.6467041,59.1250523,73.2461553,81.5234359,33.9153545,64.9195949,70.7111889,88.944073,49.2282082,76.4261814,76.0067749,93.2094438,48.5566761,105.097118,140.638509,28.4546145,34.8883839,31.8006642,32.2878002,0.114518628,0.0757461226,0.079179387,32.5924837,27.9003924
Manometer Tree 150 & 155 SP-Tstat Open,145,92.1661233,50.2871686,53.2903851,71.2224513,92.7506976,27.0695929,65.4833311,77.7100419,69.5534195,28.6615757,60.4846099,74.6255906,82.8202491,34.0615376,65.9544405,71.2787006,89.2983118,49.2255909,77.4999695,76.632973,93.7013517,48.5795597,106.52938,140.977799,28.8092003,35.2789668,32.083055,32.42217,0.114785751,0.0760663405,0.0795460971,32.6361705,27.9066542
Manometer Tree 150 & 155 SP-Tstat Open,150,94.5240053,51.0794306,54.3885718,72.7981611,94.114249,27.1319708,66.8474631,79.2903449,70.5297456,28.7026035,61.8209904,75.9821341,84.10209,34.0195228,66.9924445,71.8393073,89.6680502,49.2029593,78.600232,77.2758363,94.1786318,48.5867066,107.936111,141.314794,29.0553922,36.0654422,32.4046681,32.5847731,0.11477007,0.0769059497,0.0791381219,32.6152454,27.8989449
Manometer Tree 150 & 155 SP-Tstat Open,155,96.8654624,51.8777828,55.5076476,74.3596382,95.4585919,27.1796194,68.2143618,80.8504125,71.4746004,28.7491146,63.1901046,77.3528849,85.3600521,33.866554,68.0413486,72.4304949,90.0307611,49.0326122,79.6748886,77.9348261,94.6425998,48.6107614,109.322618,141.646549,29.4257533,36.7271304,32.6636622,32.6375233,0.114794279,0.0766776156,0.0796888747,32.598583,27.8617813
Manometer Tree 150 & 155 SP-Tstat Open,160,99.1890762,52.6703284,56.6230535,75.906245,96.7829159,27.2060174,69.5847226,82.3613421,72.4314617,28.7796715,64.5607217,78.7336167,86.6028267,33.9323219,69.0912195,73.0187915,90.4049445,48.9334516,80.7549931,78.6096022,95.1187996,48.3711823,110.715818,141.987438,29.7237271,37.1690403,32.9672381,32.7621001,0.115725497,0.0769491406,0.0796156977,32.5976764,27.8554317
Manometer Tree 150 & 155 SP-Tstat Open,165,101.444564,53.4622548,57.7245795,77.4224264,98.0515124,27.2368238,70.942593,83.8799119,73.3685567,28.8261702,65.9189244,80.0578807,87.8359365,34.0975962,70.1478916,73.6235853,90.7511105,49.0058409,81.8399513,79.2657886,95.5839703,48.4343159,112.093164,142.324775,30.0843482,37.6364983,33.2405247,32.9691022,0.115998123,0.0767499673,0.0792638432,32.5931631,27.8747301
Manometer Tree 150 & 155 SP-Tstat Open,170,103.718441,54.2726272,58.8320524,78.9766335,99.3279895,27.3281418,72.3022667,85.403616,74.3398836,28.9348097,67.2924603,81.4109462,89.0597562,34.1689113,71.2156945,74.2309144,91.1074244,49.2354557,82.9473029,79.9463728,96.0509321,48.6281599,113.47484,142.655524,30.0839526,38.4594568,33.6437714,33.096255,0.116559054,0.0768602829,0.0795887378,32.5661817,27.9066733
Manometer Tree 150 & 155 SP-Tstat Open,175,105.976668,55.0541541,59.919775,80.4765921,100.555206,27.3664403,73.6553906,86.8639147,75.2666971,28.9454063,68.6473353,82.7387693,90.2378203,34.1028869,72.2782603,74.8412401,91.4824245,48.9883521,84.0181778,80.6470491,96.4883189,48.6721808,114.786286,142.981978,30.4011911,39.0262039,33.971716,33.2810314,0.116852037,0.0769342852,0.0797029049,32.585579,27.8789721
Manometer Tree 150 & 155 SP-Tstat Open,180,108.20605,55.8460379,60.9969402,81.9576875,101.785565,27.4255713,75.0138823,88.3531421,76.2101958,28.9849627,70.0133591,84.0704443,91.4292729,34.3965808,73.3332976,75.4686378,91.8327374,48.9809574,85.1141552,81.3359988,96.9527237,48.5377226,116.14031,143.31951,30.9114055,39.5382234,34.2926918,33.4591384,0.117416545,0.0768737629,0.0793576527,32.577361,27.8616175
Manometer Tree 150 & 155 SP-Tstat Open,185,110.361244,56.6395292,62.0848366,83.4609476,102.998534,27.4997998,76.3802995,89.8156423,77.1365432,29.0590597,71.3532787,85.3830731,92.5956014,34.5051581,74.3906713,76.1096278,92.2064144,49.0368426,86.1686793,82.0163929,97.4110927,48.4843452,117.454806,143.63318,31.2382791,40.1225487,34.7079414,33.6676657,0.117570602,0.0771205288,0.0794134983,32.5735187,27.8387002
Manometer Tree 150 & 155 SP-Tstat Open,190,112.451405,57.4342694,63.148479,84.9121194,104.182419,27.5937883,77.7093505,91.2586454,78.0459519,29.1257925,72.7016988,86.6901853,93.7360331,34.3614772,75.4494677,76.7302997,92.5507664,48.8878752,87.2402886,82.6885199,97.8479689,48.404676,118.748268,143.962253,31.3820683,40.766666,35.1545216,33.8922496,0.117600313,0.0778831096,0.0792195518,32.561228,27.8388198
Manometer Tree 150 & 155 SP-Tstat Open,195,114.533393,58.2279582,64.2082545,86.3712524,105.324813,27.6583142,79.0534937,92.6686214,78.9523759,29.1913343,74.0518456,87.9697929,94.8575577,34.7030149,76.487867,77.355108,92.8993917,48.913627,88.3041597,83.3884359,98.2913609,48.400764,120.040482,144.273817,31.8231123,41.4915923,35.510481,34.0941243,0.11870567,0.0777678422,0.0794393578,32.5853716,27.8403032
