thermocouple,temp_initial,temp_final,temp_min,temp_max,temp_mean,temp_std,temp_range,duration_min,heating_rate_c_per_min,overshoot,stability,max_rate_of_change,min_rate_of_change,avg_rate_of_change,num_readings,heater_id
TC9,26.92,120.47,26.92,120.62,83.0,29.23,93.71,386.08,0.2427,0.15,0.2911,2.0911,-0.0602,0.0202,4633,"Manometer Tree 50, 100 & 150 SP"
TC10,27.14,70.7,27.08,70.88,53.17,12.41,43.79,386.08,0.1133,0.17,0.93,0.8174,-1.4199,0.0094,4633,"Manometer Tree 50, 100 & 150 SP"
TC11,50.46,147.84,50.45,150.7,106.02,35.32,100.25,386.08,0.2596,2.85,0.065,0.6841,-0.0592,0.0235,4140,"Manometer Tree 50, 100 & 150 SP"
TC12,27.46,143.53,27.46,145.65,98.09,36.04,118.19,386.08,0.3061,2.12,0.0791,1.0273,-0.0745,0.0251,4633,"Manometer Tree 50, 100 & 150 SP"
TC13,27.48,132.32,27.48,133.19,91.63,32.05,105.71,386.08,0.2738,0.87,0.1474,1.8753,-0.077,0.0226,4633,"Manometer Tree 50, 100 & 150 SP"
TC14,28.25,79.63,28.04,80.4,60.47,14.31,52.36,386.08,0.1351,0.77,0.7955,1.4406,-1.385,0.0111,4633,"Manometer Tree 50, 100 & 150 SP"
TC15,29.15,146.37,29.15,146.45,103.25,34.56,117.3,386.08,0.3038,0.08,0.0466,0.5249,-0.0438,0.0253,4633,"Manometer Tree 50, 100 & 150 SP"
TC16,33.31,146.28,33.31,146.31,108.71,30.6,113.0,386.08,0.2927,0.02,0.0529,0.312,-0.0414,0.0244,4633,"Manometer Tree 50, 100 & 150 SP"
TC17,38.74,144.64,38.74,144.65,112.65,26.58,105.91,386.08,0.2743,0.01,0.138,0.4362,-0.04,0.0229,4633,"Manometer Tree 50, 100 & 150 SP"
TC18,36.79,53.18,36.79,53.74,51.81,3.01,16.95,386.08,0.0439,0.55,0.4759,0.5385,-0.5183,0.0035,4633,"Manometer Tree 50, 100 & 150 SP"
TC19,29.24,147.95,29.24,148.07,106.44,33.88,118.83,386.08,0.3078,0.12,0.0607,0.5526,-0.0572,0.0256,4633,"Manometer Tree 50, 100 & 150 SP"
TC20,31.52,144.28,31.52,144.36,108.26,30.13,112.85,386.08,0.2923,0.08,0.0495,0.3293,-0.0415,0.0243,4633,"Manometer Tree 50, 100 & 150 SP"
TC21,35.6,142.52,35.6,142.67,110.83,27.02,107.07,386.08,0.2773,0.15,0.0275,0.7647,-0.0405,0.0231,4633,"Manometer Tree 50, 100 & 150 SP"
TC22,35.58,51.65,35.55,52.32,50.53,3.02,16.77,386.08,0.0434,0.67,0.3232,0.4433,-0.6401,0.0035,4633,"Manometer Tree 50, 100 & 150 SP"
TC23,26.8,148.34,26.8,156.74,112.23,31.82,129.95,386.08,0.3366,8.4,0.2542,0.9141,-0.1088,0.0262,4633,"Manometer Tree 50, 100 & 150 SP"
TC24,25.97,152.58,25.97,155.22,137.27,24.15,129.25,386.08,0.3348,2.64,0.0336,0.6105,-0.0431,0.0273,4633,"Manometer Tree 50, 100 & 150 SP"
TC25,27.44,52.87,27.36,55.81,42.25,7.93,28.44,386.08,0.0735,2.94,0.7763,1.5797,-2.3555,0.0055,4633,"Manometer Tree 50, 100 & 150 SP"
TC1,205.22,231.53,205.22,250.36,235.66,8.4,45.14,28.83,1.5655,18.83,0.7108,0.9535,-0.3761,0.076,347,Test Tstat open
TC2,107.9,220.47,107.9,220.47,185.74,30.81,112.57,28.83,3.9041,0.0,0.686,0.8369,0.0198,0.3253,347,Test Tstat open
TC3,123.89,225.45,123.89,225.45,197.89,26.79,101.56,28.83,3.5223,0.0,0.3646,0.9188,0.0056,0.2935,347,Test Tstat open
TC4,157.6,223.72,157.6,224.18,211.15,15.74,66.57,28.83,2.309,0.46,0.0771,0.9134,-0.1092,0.1911,347,Test Tstat open
TC5,156.9,198.08,156.9,198.08,188.85,9.46,41.18,28.83,1.4283,0.0,0.1532,0.6341,-0.1596,0.119,347,Test Tstat open
TC6,32.24,79.29,32.24,79.61,61.0,14.02,47.37,28.83,1.643,0.32,0.6406,1.1472,-1.535,0.136,347,Test Tstat open
TC7,156.38,243.99,156.38,245.05,228.39,21.91,88.67,28.83,3.0752,1.06,0.2325,1.1216,-0.0559,0.2532,347,Test Tstat open
TC8,162.41,227.88,162.41,228.78,216.37,15.67,66.37,28.83,2.3019,0.91,0.1578,0.9208,-0.1102,0.1892,347,Test Tstat open
TC9,122.07,179.25,122.07,179.25,164.89,13.89,57.18,28.83,1.9831,0.0,0.1828,0.6749,-0.0338,0.1653,347,Test Tstat open
TC10,33.22,80.83,33.22,81.12,62.48,14.15,47.9,28.83,1.6614,0.29,0.6228,0.8695,-1.6608,0.1376,347,Test Tstat open
TC11,146.97,234.95,146.97,235.93,219.02,22.27,88.96,28.83,3.0852,0.98,0.2233,1.088,-0.0558,0.2543,347,Test Tstat open
TC12,150.86,222.16,150.86,222.41,208.22,17.43,71.55,28.83,2.4817,0.25,0.0567,0.9097,-0.08,0.2061,347,Test Tstat open
TC13,143.09,196.78,143.09,196.78,184.23,12.64,53.7,28.83,1.8623,0.0,0.1515,0.7165,-0.093,0.1552,347,Test Tstat open
TC14,37.82,91.7,37.82,91.77,71.12,15.54,53.95,28.83,1.871,0.07,0.7974,1.3622,-1.9453,0.1557,347,Test Tstat open
TC15,127.98,216.35,127.98,216.35,195.83,22.63,88.36,28.83,3.0647,0.0,0.1211,0.9335,-0.0041,0.2554,347,Test Tstat open
TC16,101.91,197.08,101.91,197.08,168.37,25.73,95.17,28.83,3.3007,0.0,0.5975,0.7326,0.0399,0.2751,347,Test Tstat open
TC17,96.4,180.96,96.4,180.96,150.93,24.13,84.56,28.83,2.9327,0.0,0.7773,0.4969,0.0503,0.2444,347,Test Tstat open
TC18,40.29,45.32,40.29,46.27,43.34,1.62,5.98,28.83,0.2074,0.95,0.1283,0.3642,-0.4843,0.0145,347,Test Tstat open
TC19,134.06,213.08,134.06,213.08,194.31,19.82,79.02,28.83,2.7406,0.0,0.1846,0.8763,-0.0057,0.2284,347,Test Tstat open
TC20,109.11,196.01,109.11,196.01,171.07,23.13,86.9,28.83,3.014,0.0,0.4624,0.7248,0.0148,0.2512,347,Test Tstat open
TC21,104.94,183.39,104.94,183.39,156.62,22.03,78.45,28.83,2.7208,0.0,0.664,0.5056,0.0429,0.2267,347,Test Tstat open
TC22,40.0,44.62,40.0,45.32,42.81,1.51,5.32,28.83,0.1846,0.71,0.1066,0.2687,-0.3933,0.0133,347,Test Tstat open
TC23,174.27,212.75,174.27,217.18,210.43,9.07,42.91,28.83,1.4884,4.44,0.4608,0.765,-0.1877,0.1112,347,Test Tstat open
TC24,161.03,174.67,161.03,176.16,174.08,3.4,15.12,28.83,0.5244,1.49,0.1669,0.2553,-0.0659,0.0394,347,Test Tstat open
TC25,51.0,65.3,51.0,70.12,64.51,3.71,19.12,28.83,0.6631,4.82,1.3422,3.1919,-4.7328,0.0413,347,Test Tstat open
