heater_id,thermocouple,temp_initial,temp_final,temp_min,temp_max,temp_mean,heating_rate,stability,overshoot,anomaly_count
Test Tstat open,TC1,205.22,231.53,205.22,250.36,235.66,1.5655,0.7108,18.83,18
Test Tstat open,TC2,107.9,220.47,107.9,220.47,185.74,3.9041,0.686,0.0,0
Test Tstat open,TC3,123.89,225.45,123.89,225.45,197.89,3.5223,0.3646,0.0,12
Test Tstat open,TC4,157.6,223.72,157.6,224.18,211.15,2.309,0.0771,0.46,19
Test Tstat open,TC5,156.9,198.08,156.9,198.08,188.85,1.4283,0.1532,0.0,16
Test Tstat open,TC6,32.24,79.29,32.24,79.61,61.0,1.643,0.6406,0.32,0
Test Tstat open,TC7,156.38,243.99,156.38,245.05,228.39,3.0752,0.2325,1.06,19
Test Tstat open,TC8,162.41,227.88,162.41,228.78,216.37,2.3019,0.1578,0.91,19
Test Tstat open,TC9,122.07,179.25,122.07,179.25,164.89,1.9831,0.1828,0.0,18
Test Tstat open,TC10,33.22,80.83,33.22,81.12,62.48,1.6614,0.6228,0.29,0
Test Tstat open,TC11,146.97,234.95,146.97,235.93,219.02,3.0852,0.2233,0.98,19
Test Tstat open,TC12,150.86,222.16,150.86,222.41,208.22,2.4817,0.0567,0.25,19
Test Tstat open,TC13,143.09,196.78,143.09,196.78,184.23,1.8623,0.1515,0.0,18
Test Tstat open,TC14,37.82,91.7,37.82,91.77,71.12,1.871,0.7974,0.07,0
Test Tstat open,TC15,127.98,216.35,127.98,216.35,195.83,3.0647,0.1211,0.0,18
Test Tstat open,TC16,101.91,197.08,101.91,197.08,168.37,3.3007,0.5975,0.0,0
Test Tstat open,TC17,96.4,180.96,96.4,180.96,150.93,2.9327,0.7773,0.0,0
Test Tstat open,TC18,40.29,45.32,40.29,46.27,43.34,0.2074,0.1283,0.95,0
Test Tstat open,TC19,134.06,213.08,134.06,213.08,194.31,2.7406,0.1846,0.0,18
Test Tstat open,TC20,109.11,196.01,109.11,196.01,171.07,3.014,0.4624,0.0,7
Test Tstat open,TC21,104.94,183.39,104.94,183.39,156.62,2.7208,0.664,0.0,0
Test Tstat open,TC22,40.0,44.62,40.0,45.32,42.81,0.1846,0.1066,0.71,0
Test Tstat open,TC23,174.27,212.75,174.27,217.18,210.43,1.4884,0.4608,4.44,19
Test Tstat open,TC24,161.03,174.67,161.03,176.16,174.08,0.5244,0.1669,1.49,19
Test Tstat open,TC25,51.0,65.3,51.0,70.12,64.51,0.6631,1.3422,4.82,14
